Name,Price,Discount,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
Sid Meier's Gettysburg - PC,-1.0,-1.0,3.5,30,14,2,2,4,5,Electronic Arts,Military_and_historical_strategy_games,0,0,0,0,Windows ME, Windows 95,CD-ROM,Pc,0,0,0,0
Age of Empires III: Complete Collection - PC,99.88,0.0,4.4,791,561,110,55,23,47,Microsoft,Real-time-strategy-game-genre,0,0,0,0,Windows XP,0,CD-ROM,PC,0,"Stunning scenes
Spectacular combat
Industrial Age units like rifled infantry, cavalry and tall ships bristling with cannons
New game-play elements
Online play is not supported anymore. Windows XP, Vista, 7, 8",5,31
Cabela's Big Game Hunter 2009,-1.0,-1.0,3.5,20,7,2,8,0,2,ACTIVISION,Hunting_and_fishing_games,0,0,0,0,Windows Vista, Windows XP,CD-ROM,PC,0,"Hunt in different eras in search of trophies such as white-tailed deer, Yukon moose, Alaskan brown bear and Roosevelt elk
Over ten of North America's top hunting locations, including Kodiak Island, the Yukon, and the Rocky Mountains
Each location in Cabela's Legendary Adventures is a visually stunning open outdoor environment that encourages exploration and tactical variation
Shooting mechanics have been developed to reflect modern as well as historical hunting technology, so you relive the hunts complete with detail from specific time periods
The firearms, tactics and gear in Legendary Adventures are as true to real life as a game will allow",5,101
Diner Dash: Hometown Hero [Old Version],9.9,0.0,3.7,39,21,1,4,5,5,Encore,Life Simulation Strategy Games,0,0,0,0,Windows XP Home Edition, Windows Vista,CD-ROM,Pc,0,"Diner Dash - Hometown Hero has Fun, Addictive Play
50 New Story Mode Levels
500+ clothing & decor items
Play with friends in multiplayerSystem Requirements
Windows 2000, Windows XP, Windows Vista",5,31
SpellForce 2 - Anniversary Edition [Online Game Code],14.99,0.0,3.6,19,10,0,3,0,5,THQ Nordic,Strategy_games,0,13,April,2017,Windows 8.1, Windows XP,0,PC,0,"SpellForce 2 - Anniversary Edition: ""SpellForce 2 – Shadow Wars"" and the add-on ""SpellForce 2 – Dragon Storm""
Re-implemented multiplayer and NAT traversal for a smooth online experience
Many Bugfixes
Full compatibility with modern operating systems",4,36
Shadow Ops: Red Mercury (DVD-ROM),9.95,0.0,2.7,6,0,0,1,2,0,Atari,Shooter-action-game-genre,0,0,0,0,Windows NT, Windows 2000,DVD-ROM,Pc,0,"Exciting mix of all-out assault with stealth and infiltration
Realistic combat feel with Halo-like controls
Full multiplayer experience with game modes like plant the bomb, VIP escort, capture the flag and more
Incredibly realistic motion-captured moves provided by ex-Special Forces operatives",4,41
Tera Online - PC,17.99,0.0,4.2,325,211,32,39,13,29,Atari,Action-game-genre,0,0,0,0,Windows Vista, Windows XP,DVD-ROM,PC,0,"Enter the world of Tera as one of seven player races, each with its own history, lore, and point of view. These are the races of the Valkyon Federation, leading the way into a new era of unity as they face a battle for their very existence.
The eight player classes of Tera each contribute their own style of combat, their own method and approach to tactics, and their own unique abilities in solo and group play. Get to know them here-their fighting styles, their tools, and their talents.
Tera is a world born of conflict. It's a place where gods scheme, armies clash, and the world can change in the blink of an eye. Thousands of years have passed since the two titans, Arun and Shara, lay down and dreamed the world and its inhabitants.
Your enemies are many and varied. Some are strong, some are intelligent-all are dangerous. Consider this your pre-mission briefing on beasts and bad guys. Get to know them, where they come from, and how they fight.
The world of Tera began millennia ago when two titans of unimaginable power, Arun and Shara, met in a formless void. For reasons we can only guess, they fell asleep. And as they slept, Tera took shape around them.",5,211
Vietnam 2 (Jewel Case) - PC,-1.0,-1.0,5.0,4,4,0,0,0,0,ValuSoft,Military_and_espionage_action_games,0,0,0,0,Windows ME, Windows 98,CD-ROM,Pc,0,MINIMUM PC REQUIREMENTS Windows 95/98/Me Pentium II 300MHz 64MB RAM 250MB free hard drive space 4x speed CD-ROM 8MB 3D accelerated video card with Direct3D support DirectX 8.0 or higher DirectX 8.0 compatible 16-bit sound card Keyboard and Mouse,1,39
Shadow Ops: Red Mercury (DVD-ROM),9.95,0.0,2.7,6,0,0,1,2,0,Atari,Shooter-action-game-genre,0,0,0,0,Windows NT, Windows 2000,DVD-ROM,Pc,0,"Exciting mix of all-out assault with stealth and infiltration
Realistic combat feel with Halo-like controls
Full multiplayer experience with game modes like plant the bomb, VIP escort, capture the flag and more
Incredibly realistic motion-captured moves provided by ex-Special Forces operatives",4,41
Tera Online - PC,17.99,0.0,4.2,325,211,32,39,13,29,Atari,Action-game-genre,0,0,0,0,Windows Vista, Windows XP,DVD-ROM,PC,0,"Enter the world of Tera as one of seven player races, each with its own history, lore, and point of view. These are the races of the Valkyon Federation, leading the way into a new era of unity as they face a battle for their very existence.
The eight player classes of Tera each contribute their own style of combat, their own method and approach to tactics, and their own unique abilities in solo and group play. Get to know them here-their fighting styles, their tools, and their talents.
Tera is a world born of conflict. It's a place where gods scheme, armies clash, and the world can change in the blink of an eye. Thousands of years have passed since the two titans, Arun and Shara, lay down and dreamed the world and its inhabitants.
Your enemies are many and varied. Some are strong, some are intelligent-all are dangerous. Consider this your pre-mission briefing on beasts and bad guys. Get to know them, where they come from, and how they fight.
The world of Tera began millennia ago when two titans of unimaginable power, Arun and Shara, met in a formless void. For reasons we can only guess, they fell asleep. And as they slept, Tera took shape around them.",5,211
